name,artist,album,release_date,popularity
"Olanjali Kuruvi - From ""1983""",P. Jayachandran,"Hits of P. Jayachandran, Vol. 2",2018-10-27,46
Hrudaya Sakhi,Hariharan,Vellithira (Original Motion Picture Soundtrack),2003-07-19,0
Mazhavillin,Afsal,Hallo (Original Motion Picture Soundtrack),2007-07-07,0
Junile Nilamazhayil,K. J. Yesudas,Nammal Thammil (Original Motion Picture Soundtrack),2007-07-01,55
Vaaleduthal,Vidhu Prathap,Meesamadhavan (Original Motion Picture Soundtrack),2002-07-19,0
Tujh Mein Rab Dikhta Hai - II,Salimâ€“Sulaiman,Rab Ne Bana Di Jodi,2008-11-06,62
"Mukilin Magalae - From ""Makalkku""",Manjari,Hits of Manjari,2018-09-28,16
Pai Kurumbiye,Balram,Gramaphone (Original Motion Picture Soundtrack),2002-07-01,0
Naran,K. S. Chithra,Naran (Original Motion Picture Soundtrack),2007-07-01,52
"Aalilayum - From ""Veeralipattu""",Vineeth Sreenivasan,Hits of Vineeth Sreenivasan,2018-10-05,44
Sukhamaanee Nilaavu,Vidhu Prathap,Nammal (Original Motion Picture Soundtrack),2003-07-19,0
Oru Narupushpamaai - Male Version,K. J. Yesudas,Meghamalhaar (Original Motion Picture Soundtrack),2001-07-19,0
Kadalolam,Manjari,Minnaminnikoottam (Original Motion Picture Soundtrack),2008-07-05,0
Mizhithammil - Duet Version,Ranjith Govind,Minnaminnikoottam (Original Motion Picture Soundtrack),2008-07-05,0
"Merke Merke ( From"" Kanda Naal Mudhalai"")",Shankar Mahadevan,Hits of Shankar Mahadevan,2013-03-25,60
Paartha Mudhal,Unni Menon,Vettaiaadu Vilayadu (Original Motion Picture Soundtrack),2006-03-08,0
"Sundariye - From ""Panthaya Kozhi""",Vidhu Prathap,Best of Vidhu Prathap,2018-10-08,30
Manmadhuda,K. S. Chithra,Manmadha,2005-04-28,55
"Aattinkarayorathe - From ""Rasathanthram""",Manjari,Hits of Manjari,2018-09-28,50
Gange Thudiyil (M),K. J. Yesudas,Vadakkumnadhan,2012-12-13,0
Junile Nilamazhayil,Sujatha,Nammal Thammil (Original Motion Picture Soundtrack),2007-07-01,25
Koi Kahe Kehta Rahe,Shankar Mahadevan,Dil Chahta Hai,2001-06-22,61
Kaattadi,Vidhu Prathap,Classmates (Original Motion Picture Soundtrack),2006-07-16,0
Dil Chahta Hai,Shankar Mahadevan,Dil Chahta Hai,2001-06-22,58
Maa,Shankar Mahadevan,Taare Zameen Par,2007-11-05,55
Nuvve Nuvve Kavalantundi,K. S. Chithra,Nuvve Nuvve,2002-09-10,55
Gujarathi,Vidhu Prathap,Pulivaalkalyanam,2003-07-03,0
"Nira Thinkale - From ""My Big Father""",Manjari,Hits of Manjari,2018-09-28,29
Nuvvasthanante,K. S. Chithra,Varsham,2003-12-17,54
Neeyam Thanalinu,Noel Toms,Neeyam Thanalinu,2011,43
